image_urls,name,price,shop
https://s.ek.ua/jpg/2256668.jpg,Canon i-SENSYS LBP673CDW,15874,Tviy-Dim.com
https://s.ek.ua/jpg/2256668.jpg,Canon i-SENSYS LBP673CDW,14930,Tehnopostavka.com.ua
https://s.ek.ua/jpg/1376497.jpg,Brother HL-L2312D,5046,Timesport.com.ua
https://s.ek.ua/jpg/1376497.jpg,Brother HL-L2312D,5092,Avic.ua
https://s.ek.ua/jpg/1961162.jpg,Polaroid Hi-Print,5249,Zhuk.ua
https://s.ek.ua/jpg/1961162.jpg,Polaroid Hi-Print,3722,Denika.ua
https://s.ek.ua/jpg/1164077.jpg,Epson Expression Photo XP-55,7579,click24.biz
https://s.ek.ua/jpg/1376497.jpg,Brother HL-L2312D,8008,Ebox24.biz
https://s.ek.ua/jpg/1376497.jpg,Brother HL-L2312D,5046,Denika.ua
https://s.ek.ua/jpg/1961162.jpg,Polaroid Hi-Print,5039,Timesport.com.ua
https://s.ek.ua/jpg/1961162.jpg,Polaroid Hi-Print,4015,Tomdom.prom.ua
https://s.ek.ua/jpg/1164077.jpg,Epson Expression Photo XP-55,7579,Click24.in.ua
https://s.ek.ua/jpg/1164077.jpg,Epson Expression Photo XP-55,7656,Ebox24.biz
https://s.ek.ua/jpg/2255845.jpg,Kyocera ECOSYS PA2100CWX,12399,Kvshop.com.ua
https://s.ek.ua/jpg/2255845.jpg,Kyocera ECOSYS PA2100CWX,14520,FOXTROT.UA
https://s.ek.ua/jpg/1376497.jpg,Brother HL-L2312D,5040,Optgo.com.ua
https://s.ek.ua/jpg/1376497.jpg,Brother HL-L2312D,5043,Tomdom.prom.ua
https://s.ek.ua/jpg/1322390.jpg,Canon PIXMA G1410,6899,Kvshop.com.ua
https://s.ek.ua/jpg/1322390.jpg,Canon PIXMA G1410,6699,A-techno.com.ua
https://s.ek.ua/jpg/1322390.jpg,Canon PIXMA G1410,6412,Stylus.ua
https://s.ek.ua/jpg/1322390.jpg,Canon PIXMA G1410,6315,Цифра
https://s.ek.ua/jpg/1322390.jpg,Canon PIXMA G1410,6795,АЛЛО
https://s.ek.ua/jpg/1322390.jpg,Canon PIXMA G1410,6717,Tehnopostavka.com.ua
https://s.ek.ua/jpg/1961162.jpg,Polaroid Hi-Print,5036,Tomdom.prom.ua
https://s.ek.ua/jpg/1510369.jpg,Canon Zoemini PV123,3333,Moyo.ua
https://s.ek.ua/jpg/1510369.jpg,Canon Zoemini PV123,3333,Repka.ua
https://s.ek.ua/jpg/1510369.jpg,Canon Zoemini PV123,3333,Sokol.ua
https://s.ek.ua/jpg/1510369.jpg,Canon Zoemini PV123,6490,click24.biz
https://s.ek.ua/jpg/2255845.jpg,Kyocera ECOSYS PA2100CWX,11904,Stylus.ua
https://s.ek.ua/jpg/2255845.jpg,Kyocera ECOSYS PA2100CWX,11805,Цифра
https://s.ek.ua/jpg/2255845.jpg,Kyocera ECOSYS PA2100CWX,12018,Ktc.ua
https://s.ek.ua/jpg/1322390.jpg,Canon PIXMA G1410,6295,Enko.com.ua
https://s.ek.ua/jpg/2233710.jpg,Xerox B230,9082,Moyo.ua
https://s.ek.ua/jpg/2233710.jpg,Xerox B230,9082,Kvshop.com.ua
https://s.ek.ua/jpg/2233710.jpg,Xerox B230,8064,Stylus.ua
https://s.ek.ua/jpg/1510369.jpg,Canon Zoemini PV123,6490,Click24.in.ua
https://s.ek.ua/jpg/1510369.jpg,Canon Zoemini PV123,4515,Mta.ua
https://s.ek.ua/jpg/2255845.jpg,Kyocera ECOSYS PA2100CWX,13030,Tviy-Dim.com
https://s.ek.ua/jpg/2255845.jpg,Kyocera ECOSYS PA2100CWX,11899,Aligator.com.ua
https://s.ek.ua/jpg/1610055.jpg,HP Color LaserJet Pro M454DN,18751,Цифра
https://s.ek.ua/jpg/1610055.jpg,HP Color LaserJet Pro M454DN,19244,Stylus.ua
https://s.ek.ua/jpg/2233710.jpg,Xerox B230,7967,Цифра
https://s.ek.ua/jpg/2233710.jpg,Xerox B230,5999,Megadom.biz
https://s.ek.ua/jpg/2233710.jpg,Xerox B230,9082,Repka.ua
https://s.ek.ua/jpg/2233710.jpg,Xerox B230,9081,Ktc.ua
https://s.ek.ua/jpg/1510369.jpg,Canon Zoemini PV123,3999,COMFY.ua
https://s.ek.ua/jpg/1393222.jpg,Brother PJ-722,18252,Click24.in.ua
https://s.ek.ua/jpg/1610055.jpg,HP Color LaserJet Pro M454DN,19199,Megadom.biz
https://s.ek.ua/jpg/1393222.jpg,Brother PJ-722,18252,click24.biz
https://s.ek.ua/jpg/1393222.jpg,Brother PJ-722,22005,Redprice.prom.ua
https://s.ek.ua/jpg/1393222.jpg,Brother PJ-722,18436,Ebox24.biz
https://s.ek.ua/jpg/1610055.jpg,HP Color LaserJet Pro M454DN,23439,Ktc.ua
https://s.ek.ua/jpg/1610055.jpg,HP Color LaserJet Pro M454DN,19610,Tehnopostavka.com.ua
https://s.ek.ua/jpg/1610055.jpg,HP Color LaserJet Pro M454DN,22915,Enko.com.ua
https://s.ek.ua/jpg/1610055.jpg,HP Color LaserJet Pro M454DN,19292,Smartmag.biz.ua
https://s.ek.ua/jpg/1393222.jpg,Brother PJ-722,25432,Ebox24.biz
https://s.ek.ua/jpg/1393222.jpg,Brother PJ-722,29656,Ebox24.biz
